LinkId,Geometry
112640,"LINESTRING(355047.81093 6688879.01069,355053.48556 6688880.90789,355061.48062 6688886.35375,355071.22819 6688893.00009,355075.17504 6688894.51876)"
113825,"LINESTRING(355078.77699 6688906.72749,355078.32924 6688906.71999,355077.88020 6688906.69032,355077.43616 6688906.61585,355076.99840 6688906.51877,355076.57446 6688906.39863,355076.14861 6688906.24523,355075.74349 6688906.05725,355075.34466 6688905.84665,355074.96721 6688905.61257,355074.60359 6688905.35543,355074.26071 6688905.06372,355073.93231 6688904.76004,355073.63285 6688904.43243,355073.35478 6688904.08134,355073.09874 6688903.71785,355072.86408 6688903.33087,355072.65965 6688902.94214,355072.48416 6688902.52948)"
113826,"LINESTRING(355072.48416 6688902.52948,355072.29150 6688901.95093,355072.15109 6688901.35822,355072.06294 6688900.75137,355072.03524 6688900.14103,355072.06043 6688899.52762,355072.14672 6688898.92182,355072.28654 6688898.32404,355072.48054 6688897.74538,355072.72871 6688897.18585,355073.02415 6688896.65696,355073.37440 6688896.15828,355073.76372 6688895.67960,355074.19403 6688895.25417,355074.67160 6688894.85940,355075.17504 6688894.51876)"
113827,"LINESTRING(355075.17504 6688894.51876,355075.63007 6688894.25880,355076.09523 6688894.04277,355076.58498 6688893.85869,355077.08484 6688893.71853,355077.59419 6688893.61120,355078.11366 6688893.54779,355078.62814 6688893.52918,355079.15209 6688893.54339,355079.66350 6688893.60284,355080.17747 6688893.70664,355080.67825 6688893.84459,355081.16584 6688894.01668,355081.64089 6688894.23400,355082.09518 6688894.48589,355082.52873 6688894.77237)"
113828,"LINESTRING(355082.52873 6688894.77237,355082.84573 6688895.00995,355083.14954 6688895.28167,355083.43824 6688895.55426,355083.71375 6688895.86100,355083.95903 6688896.16948,355084.19048 6688896.50102,355084.40746 6688896.84452,355084.59485 6688897.20085,355084.76022 6688897.56959,355084.91047 6688897.93920,355085.06086 6688898.44231,355085.17411 6688898.95870,355085.24958 6688899.47727,355085.28035 6688900.00956,355085.27270 6688900.53294,355085.21215 6688901.05937,355085.12073 6688901.57647,355084.98334 6688902.08509)"
113829,"LINESTRING(355084.98334 6688902.08509,355085.12073 6688901.57647,355085.21215 6688901.05937,355085.27270 6688900.53294,355085.28035 6688900.00956,355085.24958 6688899.47727,355085.17411 6688898.95870,355085.06086 6688898.44231,355084.91047 6688897.93920,355084.76022 6688897.56959,355084.59485 6688897.20085,355084.40746 6688896.84452,355084.19048 6688896.50102,355083.95903 6688896.16948,355083.71375 6688895.86100,355083.43824 6688895.55426,355083.14954 6688895.28167,355082.84573 6688895.00995,355082.52873 6688894.77237,355082.09518 6688894.48589,355081.64089 6688894.23400,355081.16584 6688894.01668,355080.67825 6688893.84459,355080.17747 6688893.70664,355079.66350 6688893.60284,355079.15209 6688893.54339,355078.62814 6688893.52918,355078.11366 6688893.54779,355077.59419 6688893.61120,355077.08484 6688893.71853,355076.58498 6688893.85869,355076.09523 6688894.04277,355075.63007 6688894.25880,355075.17504 6688894.51876,355074.67160 6688894.85940,355074.19403 6688895.25417,355073.76372 6688895.67960,355073.37440 6688896.15828,355073.02415 6688896.65696,355072.72871 6688897.18585,355072.48054 6688897.74538,355072.28654 6688898.32404,355072.14672 6688898.92182,355072.06043 6688899.52762,355072.03524 6688900.14103,355072.06294 6688900.75137,355072.15109 6688901.35822,355072.29150 6688901.95093,355072.48416 6688902.52948,355072.65965 6688902.94214,355072.86408 6688903.33087,355073.09874 6688903.71785,355073.35478 6688904.08134,355073.63285 6688904.43243,355073.93231 6688904.76004,355074.26071 6688905.06372,355074.60359 6688905.35543,355074.96721 6688905.61257,355075.34466 6688905.84665,355075.74349 6688906.05725,355076.14861 6688906.24523,355076.57446 6688906.39863,355076.99840 6688906.51877,355077.43616 6688906.61585,355077.88020 6688906.69032,355078.32924 6688906.71999,355078.77699 6688906.72749)"
113840,"LINESTRING(355072.48416 6688902.52948,355067.57194 6688899.78710,355057.02450 6688892.41929,355052.18907 6688889.03828,355048.54308 6688888.00292,355044.90397 6688888.13542)"
113841,"LINESTRING(355032.29184 6688881.64361,355029.36733 6688877.35105,355026.43215 6688874.31637,355021.73443 6688872.00668,354944.97317 6688833.51996)"
113843,"LINESTRING(355091.21527 6688912.05005,355103.14498 6688926.93728,355109.91123 6688935.39157,355115.38957 6688941.89533,355120.21322 6688946.77912,355125.11830 6688951.23540,355129.42204 6688955.12563)"
113844,"LINESTRING(355158.63070 6688964.38572,355154.15263 6688967.44836,355151.52975 6688968.63470,355149.50611 6688969.56387,355146.44999 6688971.38720)"
